N;TYPE;TIME
100;naive;10734
100;naive;4660
100;naive;4382
100;naive;5462
100;naive;4505
100;naive;4442
100;naive;4391
100;naive;4411
100;naive;4419
100;naive;4505
100;better;4166
100;better;4206
100;better;4344
100;better;4284
100;better;4397
100;better;4218
100;better;4365
100;better;4173
100;better;4290
100;better;4272
100;blas;612
100;blas;612
100;blas;612
100;blas;602
100;blas;593
100;blas;730
100;blas;596
100;blas;593
100;blas;593
100;blas;593
200;naive;42684
200;naive;42587
200;naive;42827
200;naive;42781
200;naive;41941
200;naive;42147
200;naive;42909
200;naive;42119
200;naive;42466
200;naive;42606
200;better;42150
200;better;43110
200;better;42997
200;better;41795
200;better;41067
200;better;41571
200;better;41375
200;better;41442
200;better;42766
200;better;41274
200;blas;4824
200;blas;4867
200;blas;4807
200;blas;5169
200;blas;4850
200;blas;4771
200;blas;4798
200;blas;4791
200;blas;4823
200;blas;4782
300;naive;154786
300;naive;178819
300;naive;182896
300;naive;155006
300;naive;153307
300;naive;151399
300;naive;157034
300;naive;158511
300;naive;151876
300;naive;149809
300;better;144216
300;better;146313
300;better;147140
300;better;145630
300;better;143565
300;better;144805
300;better;146376
300;better;148300
300;better;149943
300;better;148058
300;blas;16590
300;blas;16223
300;blas;15758
300;blas;15982
300;blas;15985
300;blas;16011
300;blas;16161
300;blas;15623
300;blas;16071
300;blas;15942
400;naive;374010
400;naive;377206
400;naive;399791
400;naive;411470
400;naive;433941
400;naive;418540
400;naive;422773
400;naive;402594
400;naive;413960
400;naive;370106
400;better;388097
400;better;452778
400;better;401613
400;better;395008
400;better;376023
400;better;365442
400;better;422473
400;better;370284
400;better;359146
400;better;356942
400;blas;37831
400;blas;37306
400;blas;36972
400;blas;37377
400;blas;38361
400;blas;37131
400;blas;38264
400;blas;38608
400;blas;40225
400;blas;39095
500;naive;1157409
500;naive;963781
500;naive;975451
500;naive;963804
500;naive;949535
500;naive;1027793
500;naive;947955
500;naive;947012
500;naive;945393
500;naive;943866
500;better;704052
500;better;727095
500;better;717417
500;better;720150
500;better;705579
500;better;720451
500;better;723932
500;better;723502
500;better;733480
500;better;733491
500;blas;74215
500;blas;72125
500;blas;73756
500;blas;74731
500;blas;73922
500;blas;72702
500;blas;73242
500;blas;73523
500;blas;73031
500;blas;73540
600;naive;2398882
600;naive;2407218
600;naive;2406703
600;naive;2436684
600;naive;2856616
600;naive;3045104
600;naive;3494645
600;naive;3557055
600;naive;3327064
600;naive;3131452
600;better;1758604
600;better;1426705
600;better;2020261
600;better;1869995
600;better;2134608
600;better;1647987
600;better;2050759
600;better;2014297
600;better;2037533
600;better;1867682
600;blas;137320
600;blas;142830
600;blas;141285
600;blas;135913
600;blas;140105
600;blas;157894
600;blas;172564
600;blas;136059
600;blas;144204
600;blas;130389
700;naive;5432655
700;naive;5495705
700;naive;6126962
700;naive;5510006
700;naive;5767152
700;naive;6463302
700;naive;5896200
700;naive;6775567
700;naive;6731515
700;naive;5823660
700;better;2618667
700;better;2792092
700;better;2951403
700;better;3082593
700;better;2878856
700;better;3293977
700;better;2981204
700;better;3060452
700;better;2636704
700;better;2608387
700;blas;224368
700;blas;225412
700;blas;222137
700;blas;220342
700;blas;218491
700;blas;216143
700;blas;226155
700;blas;274654
700;blas;236542
700;blas;254186
800;naive;9490306
800;naive;9568638
800;naive;9983264
800;naive;9843412
800;naive;9438590
800;naive;9478410
800;naive;9262735
800;naive;9060198
800;naive;8938211
800;naive;9018921
800;better;5547005
800;better;6113917
800;better;6957102
800;better;7613187
800;better;7270701
800;better;7282904
800;better;7371950
800;better;7353548
800;better;7858157
800;better;7350221
800;blas;432513
800;blas;418065
800;blas;422135
800;blas;399139
800;blas;420519
800;blas;416731
800;blas;414312
800;blas;401986
800;blas;415774
800;blas;417570
